age,sleep_hours,screen_time_hours,water_intake,exercise_frequency,work_study_hours,break_frequency,multitasking,stress_level,social_time_hours,relationship_quality,hobbies,mental_wellbeing_score,data_source
20,7,5,4,I exercise almost every day,2,Sometimes,No,2,1,Good,Yes,7,Real
21,7,7,5,I exercise 1 to 2 days a week,3,Sometimes,Yes,4,2,Average,Yes,9,Real
20,8,8,3,I do not exercise at all,2,Often,Yes,4,2,Average,No,6,Real
20,10,8,6,I exercise almost every day,8,Often,Yes,5,6,Excellent,Yes,10,Real
20,8,3,6,I exercise almost every day,8,Sometimes,No,3,6,Excellent,Yes,10,Real
20,7,8,4,I exercise 3 to 5 days a week,2,Rarely,No,3,2,Average,Yes,6,Real
21,7,3,3,I exercise 3 to 5 days a week,4,Sometimes,No,3,3,Average,Yes,5,Real
22,7,5,2,I do not exercise at all,1,Often,No,1,4,Good,Yes,6,Real
21,7,4,3,I exercise 1 to 2 days a week,5,Often,No,2,5,Good,Yes,7,Real
21,6,2,4,I exercise 1 to 2 days a week,4,Sometimes,Yes,3,3,Average,Yes,4,Real
22,8,4,5,I exercise 1 to 2 days a week,4,Rarely,No,3,4,Excellent,Yes,8,Real
19,7,6,3,I exercise 3 to 5 days a week,5,Sometimes,No,3,3,Excellent,Yes,6,Real
22,4,5,4,I exercise 1 to 2 days a week,0,Often,Yes,1,1,Poor,No,1,Real
23,6,3,4,I exercise 3 to 5 days a week,4,Often,No,3,4,Good,No,6,Real
20,6,4,4,I exercise 3 to 5 days a week,5,Sometimes,No,4,4,Average,No,5,Real
22,7,4,4,I exercise 3 to 5 days a week,6,Often,No,5,4,Average,No,8,Real
20,7,3,4,I exercise 3 to 5 days a week,6,Sometimes,No,1,6,Excellent,Yes,10,Real
20,5,5,5,I exercise almost every day,5,Often,Yes,4,5,Excellent,No,8,Real
21,8,5,5,I exercise 1 to 2 days a week,4,Sometimes,Yes,3,3,Excellent,Yes,9,Real
21,5,8,3,I exercise 1 to 2 days a week,5,Often,Yes,4,4,Good,Yes,7,Real
20,8,7,4,I exercise 1 to 2 days a week,0,Often,No,1,3,Good,Yes,10,Real
22,10,8,4,I exercise almost every day,4,Sometimes,Yes,1,3,Excellent,Yes,5,Real
23,6,4,5,I exercise 3 to 5 days a week,5,Rarely,Yes,3,2,Average,No,8,Real
21,8,4,4,I exercise 3 to 5 days a week,2,Sometimes,No,3,4,Average,Yes,7,Real
19,4,5,2,I do not exercise at all,4,Sometimes,No,4,1,Poor,No,3,Real
20,7,6,3,I exercise 1 to 2 days a week,4,Sometimes,Yes,2,2,Good,Yes,8,Real
19,8,5,1,I do not exercise at all,0,Often,No,1,1,Excellent,No,3,Real
22,7,5,3,I exercise 1 to 2 days a week,3,Sometimes,No,2,3,Excellent,Yes,8,Real
20,7,8,3,I exercise 1 to 2 days a week,3,Sometimes,No,3,5,Excellent,Yes,9,Real
21,10,8,6,I exercise 3 to 5 days a week,0,Often,No,2,4,Excellent,Yes,10,Real
21,7,6,4,I exercise almost every day,5,Sometimes,Yes,3,2,Excellent,Yes,10,Real
17,5,3,4,I exercise almost every day,4,Sometimes,Yes,2,4,Excellent,No,8,Real
19,6,3,3,I exercise almost every day,2,Sometimes,Yes,3,2,Average,Yes,1,Real
21,8,4,3,I do not exercise at all,3,Rarely,Yes,2,1,Excellent,Yes,7,Real
18,8,2,4,I exercise 1 to 2 days a week,4,Sometimes,No,1,4,Excellent,Yes,10,Real
19,1,1,1,I do not exercise at all,4,Rarely,Yes,1,1,Good,Yes,1,Real
20,7,3,4,I exercise almost every day,2,Sometimes,No,2,3,Average,No,5,Real
21,6,4,2,I do not exercise at all,2,Rarely,No,2,2,Excellent,Yes,10,Real
21,7,4,3,I exercise 1 to 2 days a week,4,Rarely,Yes,1,3,Good,Yes,8,Real
18,7,5,4,I exercise 1 to 2 days a week,4,Sometimes,No,4,2,Excellent,Yes,7,Real
19,8,4,1,I do not exercise at all,1,Rarely,No,1,1,Excellent,No,5,Real
21,10,8,6,I exercise almost every day,8,Sometimes,Yes,5,6,Poor,Yes,10,Real
21,4,4,1,I exercise 1 to 2 days a week,1,Often,Yes,5,6,Excellent,No,10,Real
22,8,3,4,I exercise 1 to 2 days a week,3,Sometimes,No,2,3,Good,Yes,5,Real
21,7,6,1,I do not exercise at all,2,Often,Yes,4,1,Excellent,Yes,10,Real
20,7,4,3,I exercise 3 to 5 days a week,3,Often,Yes,1,1,Excellent,Yes,10,Real
20,10,8,6,I exercise almost every day,8,Often,Yes,5,6,Excellent,Yes,10,Real
21,6,7,2,I do not exercise at all,5,Sometimes,Yes,4,1,Good,Yes,4,Real
21,9,6,2,I exercise almost every day,1,Often,Yes,1,6,Excellent,Yes,10,Real
22,6,1,2,I exercise 1 to 2 days a week,2,Sometimes,No,3,3,Good,Yes,6,Real
32,8,4,4,I exercise 1 to 2 days a week,0,Sometimes,No,5,1,Average,No,4,Real
19,9,6,3,I exercise 1 to 2 days a week,4,Sometimes,Yes,4,3,Good,Yes,8,Real
21,6,8,4,I exercise 1 to 2 days a week,5,Often,Yes,4,5,Poor,Yes,6,Real
24,5,4,4,I exercise 3 to 5 days a week,6,Rarely,No,4,3,Average,No,5,Real
22,8,5,2,I do not exercise at all,5,Often,Yes,3,3,Average,Yes,9,Real
21,9,8,4,I exercise 3 to 5 days a week,5,Sometimes,Yes,2,4,Excellent,Yes,9,Real
54,7,6,4,I do not exercise at all,8,Often,No,4,2,Good,No,5,Real
21,8,8,2,I do not exercise at all,4,Often,No,1,2,Excellent,No,10,Real
45,7,4,3,I exercise 1 to 2 days a week,6,Sometimes,Yes,2,5,Excellent,Yes,8,Real
30,10,3,2,I do not exercise at all,3,Rarely,Yes,1,3,Good,Yes,9,Real
19,7,5,4,I exercise 3 to 5 days a week,1,Often,Yes,1,6,Excellent,Yes,9,Real
